"Latin Word","First Element","Definition","Chapter",
"est ","est ","is",2,
"et ","et ","and (et . . . et ",2,
"etiam ","etiam ","even, also",11,
"etsi ","etsi ","even if",38,
"ex (+abl) ","ex ","out of, from, from within; by reason of, on account of",8,
"excipio, excipere, excepi, exceptum ","excipio","to take out, except; take, receive, capture",24,
"exercitus, exercitus (m) ","exercitus","army",32,
"exigo, exigere, exegi, exactum (ex + ago) ","exigo","to drive  out, force  out, exact; drive through, complete, perfect",36,
"exitium, exitii (n) ","exitium","destruction, ruin",4,
"expello, expellere, expuli, expulsum ","expello","to drive out, expel, banish",24,
"experior, experiri, expertus sum ","experior","to try, test; experience",39,
"expleo, explēre, explevi, expletum ","expleo","to fill, fill up, complete",28,
"explico, explicāre, explicavi, explicatum ","explico","to unfold; explain; spread out, deploy",40,
"expono, exponere, exposui, expositum ","expono","to set forth, explain, expose",30,
"exsilium, exsilii (n) ","exsilium","exile, banishment",31,
"exspecto, expsectāre, exspectavi, exspectatum ","exspecto","to look for, expect, await",15,
"fabula, fabulae (f) ","fabula","story, tale; play",24,
"facilis, facile ","facilis","easy, agreeable",16,
"facio, facere, feci, factum ","facio","to make, do, accomplish",10,
"factum, facti (n) ","factum","deed, act, achievement",13,
"fama, famae (f) ","fama","rumor, report; fame",2,
"familia, familiae (f) ","familia","household, family",19,
"fateor, fatēri, fassus sum ","fateor","to confess, admit",34,
"fatigo, fatigāre, fatigavi, fatigatum ","fatigo","to weary, tire out",40,
"fatum, fati (n) ","fatum","fate; death",29,
"felix (gen: felicis) ","felix","lucky, fortunate, happy",22,
"femina, feminae (f) ","femina","woman",3,
"fenestra, fenestrae (f) ","fenestra","window",21,
"fero, ferre, tuli, latum ","fero","to bear, bring; suffer, endure, tolerate, say, report",31,
"ferox ","ferox ","fierce, savage",25,
"ferrum, ferri (n) ","ferrum","iron; sword",22,
"fidelis, fidele ","fidelis","faithful, loyal",25,
"fides, fidei (f) ","fides","faith, trust, trustworthiness, fidelity; promise, guarantee, protection",22,
"filia, filiae (f) ","filia","daughter (filiabus: dat. and abl. pl.)",3,
"filius, filii (m) ","filius","son",3,
"finis, finis (m)* ","finis","end, limit, boundary; purpose",21,
"fio, fieri, factus sum ","fio","to occur, happen; become; be made, be done",36,
"firmus, firma, firmum ","firmus","firm, strong; reliable",38,
"flumen, fluminis (n) ","flumen","river",18,
"fluo, fluere, fluxi, fluxum ","fluo","to flow",18,
"for, fāri, fatus sum ","for","to speak (prophetically), talk, foretell",40,
"foris ","foris ","out of doors, outside",37,
"forma, formae (f) ","forma","form, shape; beauty",2,
"fortasse ","fortasse ","perhaps",36,
"fortis, forte ","fortis","brave, strong",16,
"fortuna, fortunae (f) ","fortuna","fortune, luck",2,
